CUSTOMER,Chain,Store Number,SalesBro,Phase,NeedsSSMSupport,AIM Parameters::SSM Level,Retail Type,Zone,Power Rank,PowerRank Points::Points,Deliv Type,Deliv Duration,Google Maps,Deliv Notes,LineClean_Required,Billing Type,Fintech Name,TABC Permit,Tax ID,RITS Name,Street,City,ZIP,Is Distributor,Is Distro,iControl Name,2019 Sales,2020 Sales,Artificially Annualized Full Year 2020 Sales,% Growth 2020 over 2019
Little Woodrow's - Stone Oak,Little Woodrow's, ,C,0,No,,N,202,CO1,1,X,18,"606 W Afton Oaks Blvd, Hollywood Park, TX 78232", ,Yes,Fintech,Little Woodrow's - Stone Oak,MB905911,32055997772,Little Woodrow's - Stone Oak,606 W Afton Oaks Blvd,Hollywod Park,78232,No,"""Martin House""",, $532 , $-   , $-   ,Lost Customer in 2020
Fry Street Public House,None,,C,0,No,,N,12,CO2,0.5,R,18,"125 Avenue A Denton, TX 76201",,No,COD,,MB934742,32052796029,Fry Street Public House,125 Avenue A,Denton,76201,No,"""Martin House""",, $110 , $-   , $-   ,Lost Customer in 2020
50/50 club,None,,C,0,No,,B,4.5,CO2,0.5,B,15,"5908 Jacksboro Hwy, Lake Worth, TX 76135",,Yes,COD,,MB1047808,32069118829,THE 50/50 CLUB,5908 Jacksboro Hwy,Lake Worth,76135,No,"""Martin House""",, $185 , $-   , $-   ,Lost Customer in 2020
Golden Boy Coffee,None, ,C,0,No,,N,12,CO2,0.5,AD,18,"1803 N Elm St, Denton, TX 76201", ,No,COD, ,MB1042212,32067936024,Golden Boy Coffee,1803 N Elm St,Denton,76201,No,"""Martin House""",, $320 , $-   , $-   ,Lost Customer in 2020
Claude Hoppers,None, ,C,0,No,,N,200,CO2,0.5,B,18," 19178 Blanco Rd, San Antonio, TX 78258", ,No,COD, ,MB1062647,32058346670, Claude Hoppers, 19178 Blanco Rd ste 205, San Antonio,78258,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Brewer's Grill,None,,C,0,No,,B,203,CO3,0.25,B,18,"22250 Bulverde Rd Suite 106 San Antonio , TX 78259",,No,COD,Big Hops - Bulverde,BG862789,32052303636,Big Hops Bulverde,22250 Bulverde Rd Suite 106,San Antonio,78259,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Alamo Drafthouse - New Braunfels,Alamo Drafthouse,,C,0,No,,N,203,CO2,0.5,B,18,"651 TX-46 BUS #1010, New Braunfels, TX 78130",,No,Fintech,Alamo Drafthouse - New Braunfels,MB855783,12645617981,Alamo Drafthouse New Braunfels,651 TX-46 BUS #1010,New Braunfels,78130,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
RNDC - Houston,None,,C,0,No,,N,201,X,0,AD,18,"6301 Guhn Rd, Houston, TX 77040",,No,COD,,BB658744,17605158462,RNDC - Houston,6301 Guhn Rd,Houston,77040,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Metzler's - UNT,None,,C,0,No,,N,12,X,0,L,10,"1115 E University
Denton, TX 76029",,No,COD,,RM783065,30115607456,Metzler's - UNT,1251 S BONNIE BRAE ST,Denton,76207,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
WB Liquors - San Antonio Interstate 10,WB Liquors,101,C,0,No,,F,202,CO3,0.25,AD,18,"9801 IH- 10 WEST  San Antonio, TX 78230",UPDATE DELIV WINDOWS/DURATIONS,No,COD,,BF773531,12604362074,WB Liquors - San Antonio Interstate 10,9801 IH- 10 WEST ,San Antonio,78230,No,,, $-   , $-   , $-   ,No 2019 Sales
Torchys Tacos - Corporate,Torchy's Tacos,,C,0,No,,X,99,X,0,AD,18,Address,UPDATE DELIV WINDOWS/DURATIONS,No,COD,,XX123456,10987654321,Torchy's Tacos - Corporate,Street,City,76111,No,,, $-   , $-   , $-   ,No 2019 Sales
Alamo Drafthouse - Corporate,Alamo Drafthouse,,C,0,No,,X,99,X,0,AD,18,Address,UPDATE DELIV WINDOWS/DURATIONS,No,COD,,XX123456,10987654321,Alamo Drafthouse - Corporate,Street,City,76111,No,,, $-   , $-   , $-   ,No 2019 Sales
Flying Saucer - Corporate,Flying Saucer,,C,0,No,,X,99,X,0,AD,18,Address,UPDATE DELIV WINDOWS/DURATIONS,No,COD,,XX123456,10987654321,Flying Saucer - Corporate,Street,City,76111,No,,, $-   , $-   , $-   ,No 2019 Sales
Hilton - Corporate,Hilton,,C,0,No,,X,99,X,0,AD,18,Address,UPDATE DELIV WINDOWS/DURATIONS,No,COD,,XX123456,10987654321,Hilton - Corporate,Street,City,76111,No,,, $-   , $-   , $-   ,No 2019 Sales
Hopdoddy - Corporate,Hopdoddy,,C,0,No,,X,99,CO3,0.25,AD,18,Address,UPDATE DELIV WINDOWS/DURATIONS,No,COD,,XX123456,10987654321,Hopdoddy - Corporate,Street,City,76111,No,,, $-   , $-   , $-   ,No 2019 Sales
Movie House - Corporate,Movie House,,C,0,No,,X,99,X,0,AD,18,Address,UPDATE DELIV WINDOWS/DURATIONS,No,COD,,XX123456,10987654321,Movie House - Corporate,Street,City,76111,No,,, $-   , $-   , $-   ,No 2019 Sales
Red Robin - Corporate,Red Robin,,C,0,No,,X,99,X,0,AD,18,Address,UPDATE DELIV WINDOWS/DURATIONS,No,COD,,XX123456,10987654321,Red Robin - Corporate,Street,City,76111,No,,, $-   , $-   , $-   ,No 2019 Sales
Renaissance - Corporate,Renaissance,,C,0,No,,X,99,X,0,AD,18,Address,UPDATE DELIV WINDOWS/DURATIONS,No,COD,,XX123456,10987654321,Renaissance - Corporate,Street,City,76111,No,,, $-   , $-   , $-   ,No 2019 Sales
Sheraton - Corporate,Sheraton,,C,0,No,,X,99,X,0,AD,18,Address,UPDATE DELIV WINDOWS/DURATIONS,No,COD,,XX123456,10987654321,Sheraton - Corporate,Street,City,76111,No,,, $-   , $-   , $-   ,No 2019 Sales
World of Beer - Corporate,World of Beer,,C,0,No,,X,99,X,0,AD,18,Address,UPDATE DELIV WINDOWS/DURATIONS,No,COD,,XX123456,10987654321,World of Beer - Corporate,Street,City,76111,No,,, $-   , $-   , $-   ,No 2019 Sales
Walmart - Westworth Village 0940,Walmart,940,C,0,Yes,Weekend Inv - As Needed,F,4.5,CO1,1,G,18,"6770 Westworth Village, Westworth Village, TX 76114",UPDATE DELIV WINDOWS/DURATIONS,No,FinTech,Walmart - Westworth Village 0940,BQ621699,17106365988,Walmart - Westworth Village 0940,6770 Westworth Village,Westworth Village,76114,No,No,, $-   , $-   , $-   ,No 2019 Sales
Walmart - Lake Worth 0972,Walmart,972,C,0,Yes,Weekend Inv - Weekly,G,4.5,CO1,1,G,22,"6360 Lake Worth Blvd, Lake Worth, TX 76135",,No,FinTech,Walmart - Lake Worth 0972,BQ473575,17106365988,Walmart - Lake Worth 0972,6360 Lake Worth Blvd,Lake Worth,76135,No,No,, $-   , $-   , $-   ,No 2019 Sales
Walmart - Fort Worth Beach 2980,Walmart,2980,C,0,Yes,Weekend Inv - Weekly,F,4,CO1,1,G,22,"8520 N Beach St, Fort Worth, TX 76244",,No,FinTech,Walmart - Fort Worth Beach 2980,BF1075400,17106365988,Walmart - Fort Worth Beach 2980,8520 N Beach Street,Fort Worth,76244,No,No,, $-   , $-   , $-   ,No 2019 Sales
Walmart - Fort Worth Clifford 3773,Walmart,3773,C,0,Yes,Weekend Inv - Weekly,F,4.5,CO1,1,G,22," 9500 Clifford St, Fort Worth, TX 76108",,No,FinTech,Walmart - Fort Worth Clifford 3773,BQ621884,17106365988,Walmart - Fort Worth Clifford 3773,9500 Clifford Street,Fort Worth,76108,No,No,, $-   , $-   , $-   ,No 2019 Sales
Walmart - Denton Teasley 4104,Walmart,4104,C,0,Yes,Weekend Inv - Weekly,F,12,CO1,1,G,22,"3930 Teasley Ln, Denton, TX 76210",,No,FinTech,Walmart - Denton Teasley 4104,BQ885897,17106365988,Walmart - Denton Teasley 4104,3930 Teasley Ln,Denton,76210,No,No,, $-   , $-   , $-   ,No 2019 Sales
Walmart - Saginaw 5316,Walmart,5316,C,0,Yes,Weekend Inv - Weekly,G,4.5,CO1,1,G,22,"1401 N Saginaw Blvd, Saginaw, TX 76179",UPDATE DELIV WINDOWS/DURATIONS,No,FinTech,Walmart - Saginaw 5316,BQ567105,17106365988,Walmart - Saginaw 5316,1401 N Saginaw Blvd,Saginaw,76179,No,No,, $-   , $-   , $-   ,No 2019 Sales
Liquor - San Antonio,NONE,,C,0,No,,F,205,CO2,0.5,L,18,"8103 Bandera Rd Ste 103
San Antonio, TX 78250",,No,COD,,BF1030933,32063850690,Liquor - San Antonio,8103 BANDERA RD STE 103,San Antonio,78250,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
LOL Liquors - Rittiman,None, ,C,0,No,,F,203,CO2,0.5,L,15,"6394 Rittiman Road
San Antonio, TX 78218", ,No,COD, ,BF1069800,32051994021,LOL Liquors - Rittiman,6394 Rittiman Road,San Antonio,78218,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
Liquor 1 - San Antonio,NONE,,C,0,No,,F,201,CO2,0.5,L,18,"2712 Hillcrest Drive
San Antonio, TX 78228",,No,COD,,BF924374,32063850690,Liquor 1 - San Antonio,2712 Hillcrest Drive,San Antonio,78228,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
The Cove,None,,C,0.5,No,,B,201,CO3,0.25,R,20,"606 W Cypress St, San Antonio, TX 78212",,No,COD,,BG535770,0,The Cove,606 W Cypress St,San Antonio,78212,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
WB Liquors - San Antonio Military,WB Liquors,105,C,0.5,No,,F,200,CO1,1,AD,18,"803 SW Military Dr., Suite 120 San Antonio, TX 78221",UPDATE DELIV WINDOWS/DURATIONS,No,COD,,,,WB Liquors - San Antonio Military,"803 SW Military Dr., Suite 120",San Antonio,78221,No,,, $-   , $-   , $-   ,No 2019 Sales
Blue Box,None,,C,0.5,No,,N,201,CO3,0.25,AD,0,"312 Pearl Parkway, San Antonio, TX 78215",,No,COD,,MB806106,32045075788,"P-Bar Investments, LLC",312 Pear Parkway Ste 2107,San Antonio,78215,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Pappas - Corporate,Pappas,,C,0.5,No,,X,99,X,0,AD,18,Address,UPDATE DELIV WINDOWS/DURATIONS,No,COD,,XX123456,10987654321,Pappas - Corporate,Street,City,76111,No,,, $-   , $-   , $-   ,No 2019 Sales
Rudys - Corporate,Rudys,,C,0.5,No,,X,99,X,0,AD,18,Address,UPDATE DELIV WINDOWS/DURATIONS,No,COD,,XX123456,10987654321,Rudys - Corporate,Street,City,76111,No,,, $-   , $-   , $-   ,No 2019 Sales
Yardhouse - Corporate,Yardhouse,,C,0.5,No,,X,99,CO3,0.25,AD,18,Address,UPDATE DELIV WINDOWS/DURATIONS,No,COD,,XX123456,10987654321,Yardhouse - Corporate,Street,City,76111,No,,, $-   , $-   , $-   ,No 2019 Sales
Snuffers - Corporate,Twin Liquors,73,C,0.5,No,,F,0,X,0,AD,18,"6206 N.Navarro Street, Victoria, TX 77904",,No,Fintech,Twin Liquors  - Victoria 73,P 818113,32018895659,Twin Liquors  - Victoria 73,6206 N.Navarro Street,Victoria,77904,No,,, $-   , $-   , $-   ,No 2019 Sales
Lazy Dog - Corporate,None,,C,0.5,No,,F,0,CO3,0.25,AD,18,"6206 N.Navarro Street, Victoria, TX 77904",,No,Fintech,Twin Liquors  - Victoria 73,P 818113,32018895659,Twin Liquors  - Victoria 73,6206 N.Navarro Street,Victoria,77904,No,,, $-   , $-   , $-   ,No 2019 Sales
Twisted Root - Corporate,Twisted Root,,C,0.5,No,,N,11,CO3,0.25,R,18,"2820 Central Dr
Bedford, TX 76021",,No,COD,,MB830626,32048393311,Twisted Root - Bedford,2820 CENTRAL DRIVE,Bedford,76021,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
Ale's Q & Brew,None, ,C,0.5,No,,X,204,CO2,0.5,X,18,Map Map Map, ,No,Fintech, ,XX123456,10987654321,DUMMY,123 Main, Austin,78701,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
Brick - San Antonio,None, ,C,0.5,No,,X,201,CO2,0.5,X,18,Map Map Map, ,No,Fintech, ,XX123456,10987654321,DUMMY,123 Main, Austin,78701,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
JP Mini Ranch Feed Store,None, ,C,0.5,No,,F,204,CO2,0.5,X,18,"10103 Moursund Blvd, San Antonio, TX 78221", ,No,Fintech, ,BQ740874,32017246177,Mini Ranch Feed Store,10103 Moursund Blvd,San Antonio,78221,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
Broadway 5050,None, ,C,0.5,No,,N,201,CO1,1,L,18,"5050 Broadway St, Alamo Heights, TX 78209", ,No,Fintech, Broadway 5050,MB641853,16511846129,Broadway 5050,5050 Broadway St,Alamo Heights,78209,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
Rusty Nail - San Antonio,None, ,C,0.5,No,,N,205,CO2,0.5,B,12,"15122 Potranco Rd, San Antonio, TX 78245", ,Yes,COD, ,MB1045766,32067879273,Rusty Nail - San Antonio,15122 Potranco Rd,San Antonio,78245,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
EZ Liquor - Azle,None, ,C,0.5,No,,F,4.5,CO2,0.5,L,18,"5910 Azle Ave
Lake Worth, TX 76106", ,No,COD, ,BF1078112,32070102978,EZ Liquor - Azle,5910 Azle Ave,Lake Worth,76106,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
Stop N Save,NONE,,C,0.5,No,,F,205,CO2,0.5,AD,18,"7303 Marbach Rd, San Antonio, TX 78227",,No,COD,,"BQ276039
",17426317776,Stop N Save,7303 Marbach Rd,San Antonio,78227,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
TBA - San Antonio,None, ,C,0.5,No,,N,201,CO2,0.5,X,18,"2801 N St Mary's St, San Antonio, TX 78212", ,No,COD, ,MB839599,32048930724,TBA,2801 N St Mary's St,San Antonio,78212,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
Boulevard Spirits - San Antonio,None, ,C,0.5,No,,F,203,CO2,0.5,X,18,Map Map Map, ,No,COD, ,XX123456,10987654321,DUMMY,123 Main, Austin,78701,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
Serna Backyard Sports Bar - San Antonio,None, ,C,0.5,No,,N,205,CO2,0.5,X,18,"12023 Potranco Rd, San Antonio, TX 78253", ,No,COD, ,MB950057,32056413142,Serna's Backyard Sports Bar,12023 Potranco Rd,San Antonio,78253,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
Hi Tone,NONE,,C,0.5,No,,N,201,CO2,0.5,B,18,"621 E Dewey Pl, San Antonio, TX 78212",,No,COD,,MB775982,32043658080,Hi Tones,261 E Dewey Pl,San Antonio,78212,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
HEB - San Antonio South Flores 47,HEB, 718,C,0.5,No,,N,201,CO2,0.5,X,18,"516 S Flores St, San Antonio, TX 78204", ,No,COD, ,BG934541,17430106579,HEB,516 S Flores St,San Antonio,78204,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
Picks Bar - San Antonio,NONE,,C,0.5,No,,N,200,CO2,0.5,R,18,"4553 TX-1604 Loop #1101
San Antonio, TX 78249",,No,COD,,MB897525,32055671476,Picks Bar - San Antonio,4553 TX-1604 Loop #1101,San Antonio,78249,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
House of Liquor 2 - San Antonio,NONE,2,C,0.5,No,,F,200,CO2,0.5,L,10,"7627 Culebra Rd Ste 106
San Antonio, TX 78251",,No,COD,,BF706156,12627060432,House of Liquor 2 - San Antonio,7627 Culebra Rd  Ste 106,San Antonio,78251,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
J and G Liquor 2 - San Antonio,None, ,C,0.5,No,,F,201,CO2,0.5,L,18,"2210 Broadway Street
San Antonio, TX 78215", Online sign still shows A Plus Liquor SPR,No,COD, ,BF1069409,32071169935,J and G Liquor 2 - San Antonio,2210 Broadway Street,San Antonio,78215,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
HEB - San Antonio 21 Military Dr,HEB,444,C,0.5,No,,F,204,CO2,0.5,G,18,"3323 SE Military Dr
San Antonio, TX 78223",,No,COD,,BF428418,17430106579,HEB - San Antonio 21 Military Dr,3323 SE MILITARY DR,San Antonio,78223,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
HEB - San Antonio 36 Zarzamora,HEB,084,C,0.5,No,,F,204,CO2,0.5,G,18,"6818 S Zarzamora St
San Antonio, TX 78224",,No,EFT,,BF661495,17430106579,HEB - San Antonio 36 Zarzamora,"6818 S Zarzamora St

6818 S Zarzamora St, San Antonio, TX 78224
",San Antonio,78224,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
Dakota East Side Ice House,None, ,C,0.5,No,,N,204,CO2,0.5,R,18,"433 S Hackberry
San Antonio, TX 78203", ,No,COD, ,BG999428,32064250932,Dakota East Side Ice House,433 S Hackberry,San Antonio,78203,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
OffRhodes Craft Beer Station ,None, ,C,0.5,No,,N,0,CO2,0.5,X,18,Map Map Map, ,No,COD, ,XX123456,10987654321,DUMMY,123 Main, Austin,78701,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
Liquor Warehouse 2 - Denton,NONE,,C,0.5,No,,F,12,CO2,0.5,L,18,"1405 E MCKINNEY STREET SUITE 100
DENTON , TX 76209",,No,COD,,BF1065287,32070993103,Liquor Warehouse 2,1405 E MCKINNEY STREET SUITE 100,Denton,76209,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
Playland Pizza - San Antonio,NONE,,C,0.5,No,,N,201,CO2,0.5,R,18,"400 E Houston Street
San Antonio, TX 78205",,No,COD,,MB1024515,32065900477,Playland Pizza - San Antonio,400 E Houston Street,San Antonio,78205,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
Mellow Mushroom - San Antonio,Mellow Mushroom,,C,0.5,No,,N,202,CO2,0.5,R,18,"115 Loop 1604 East North Ste 2100
San Antonio, TX 78232",,No,COD,,MB820290,32045591719,Mellow Mushroom - San Antonio,"115 LOOP 1604 EAST NORTH STE 2100
2100",San Antonio,78232,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
Western Lucky Lady,NONE,,C,0.5,No,,F,4.5,CO2,0.5,L,18,"4504 Boat Club Road Ste 100
Fort Worth, TX 76135",,No,COD,,BF312504,17526160589,Western Lucky Lady,4504 BOAT CLUB ROAD SUITE 100,Fort Worth,76135,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
HEB - New Braunfels 3 Plus,HEB,694,C,0.5,No,,F,203,CO2,0.5,G,18,"2965 I-35N
New Braunfels, TX 78130",Have multiple flex people that able to receive anytime of day in this store only. Call customer service if no one answers door. 830) 312-5700 and they will send someone back ASAP.,No,EFT,,BG1086407,17430106587,HEB - New Braunfels 3 Plus,2965 I-35N,New Braunfels,78130,No,"""Martin House""",, $-   , $-   , $-   ,No 2019 Sales
Deloitte University,None, ,C,1,No,,N,11.5,CO2,0.5,AD,18,"1 AND 2 DELOITTE WAY Westlake , TX 76262",,No,Fintech,Deloitte University,MB771210,32041253967,Benchmark Hospitality,1 AND 2 DELOITTE WAY,Westlake,76262,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Red Hot and Blue - NRH,Red Hot and Blue, ,C,1,No,,N,11,V2,2,R,18,"9143 BOULEVARD 26
 North Richland Hills , TX 76180",,No,Fintech,Red Hot and Blue,MB632413,12036974405,Red Hot and Blue - NRH,"9143 BOULEVARD 26
",North Richland Hills,76180,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
FnG,None,,C,1,No,,N,11.5,CO1,1,R,18,"201 Town Center Lane Keller , TX 76248",,No,COD,,MB810312,32044593658,FnG Eats,201 Town Center Lane,Keller,76248,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Italianni's ,None, ,C,1,No,,N,11,CO2,0.5,R,18,"1601 Precinct Line Rd, Hurst, TX  76054",,No,COD,,MB524201,32047481430,Italianni's,1601 Precinct Line Rd,Hurst,76054,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Red Robin - Hurst,Red Robin,502,C,1,No,,N,11,CO3,0.25,R,18,"820 NE Mall Blvd, Hurst, TX 76053",,No,Fintech,Red Robin - Hurst,RM580406,12017301743,Red Robin Hurst,820 NE Mall Blvd,Hurst,76053,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Mama's Pizza,None, ,C,1,No,,N,11,X,0,R,18,"9101 BOULEVARD 26 SUITE 131
 North Richland Hills , TX 76180",,No,Prepaid,,BG855657,32037261875,Mama's Pizza,"9101 BOULEVARD 26 SUITE 131
",North Richland Hills,76180,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
AJ's,None, ,C,1,No,,N,11,X,0, ,18,"Big Hops Growler Station   , TX  ",,No,COD, , d,0, d,Big Hops Growler Station, d,0,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
BJ's - Hurst,BJ's, ,C,1,No,,N,11.5,CO2,0.5,R,18,"952 North East Loop 820, Hurst, TX 76053", ,No,Prepaid, , RM736232,13714470963, BJ's - Hurst, 952 North East Loop 820, Hurst,76053,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Bronco's Sports Bar,None, ,C,1,No,,N,11,V1,4,B,18,"900 Airport Frwy Suite 166
Hurst, TX 76054", ,No, , , XX,0, Bronco's Sports Bar, 900 Airport Frwy Suite 166, Hurst,76054,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Ginger Man - Corporate,Ginger Man, ,C,1,No,,N,99,X,0, ,18,"Quadrangle Building
2828 Routh Street
Ste 600
Dallas, TX 75201", ,No,COD, , mb696969,11234567890, Ginger Man - Corporate,2828 Routh Street Ste 600,Dallas,75201,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Hailey's,None, ,C,1,No,,N,12,X,0, ,18,, ,No, , , ,, , , ,,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Market Street - Coppell Taste of Market Street 00564T,Market Street, ,C,1,No,,F,11,X,0, ,18,"750 N. Denton Tap Rd., Coppell, TX 75019   , TX  ",,No, , , ,, ,"750 N. Denton Tap Rd., Coppell, TX 75019", ,,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Market Street - Flower Mound Market Street Bar 00565B,Market Street, ,C,1,No,,F,11,X,0, ,18,"3800 Long Prairie Road, Flower Mount, TX 75028   , TX  ",,No, , , ,, ,"3800 Long Prairie Road, Flower Mount, TX 75028", ,,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Public House,None, ,C,1,No,,N,12,X,0, ,18,, ,No, , , ,, , , ,,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Razzoo's - Irving,Razzoos, ,C,1,No,,N,11,X,0, ,18,, ,No, , , ,, , , ,,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Riprock's - Denton,None, ,C,1,No,,N,12,CO2,0.5,B,18,"1211 W Hickory Street
Denton, TX 76201",,No,COD, ,MB909287,17528869922,Riprock's - Denton,1211 W HICKORY STREET, Denton,76201,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Rockin Rodeo,None, ,C,1,No,,N,12,X,0,B,18,"1009 AVE C Denton , TX 76201",,No, , ,"N 508619

",,Rockin Rodeo,1009 AVE C,Denton,76201,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
The Friendly Spot,None, ,C,1,No,,N,201,V3,1,B,20,"943 S Alamo St, San Antonio, TX 78205", ,No, , ,BG702780,32030990884, The Friendly Spot Ice House, 943 S Alamo St, San Antonio,78205,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Twin Peaks - Fossil Creek,None, ,C,1,No,,N,4,CO2,0.5,R,18,"6650 N Fwy Service Rd E, Fort Worth, TX 76137",,No,Fintech,Twin Peaks - Fossil Creek,MB845188,32050055618, Twin Peaks - Fossil Creek, 6650 N Fwy Service Rd E, Fort Worth,76137,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Witten's Sports Bar and Grill,None, ,C,1,No,,N,11,X,0, ,18,, ,No, , , ,, , , ,,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
World of Beer - Stone Oak,World of Beer, ,C,1,No,,N,200,X,0, ,18,l,,No, , , ,, , , ,,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Boston's - Fort Worth,None, ,C,1,No,,N,4,X,0,R,18,"6501 N FREEWAY FORT WORTH , TX 76131",,No,Fintech,Boston's - Fort Worth,RM771501,32018576861,Boston's - Fort Worth,6501 N FREEWAY,FORT WORTH,76131,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
World Market - San Antonio 341,World Market, ,C,1,No,,F,200,X,0,G,18,"23010 US Hwy. 281 North San Antonio , TX 78258", ,No,Fintech,Cost Plus 341 - San Antonio, b1234567,12345678901,Cost Plus 341 - San Antonio,23010 US Hwy. 281 North,San Antonio,78258,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Fuzzy's - Alliance,Fuzzy's, ,C,1,No,,N,4,X,0,R,18,"9180 North FREEWAY
 Fort Worth , TX 76177",,No,Fintech,Fuzzy's - Alliance,RM885589,32053131002,Fuzzy's - Alliance,"9180 North FREEWAY
",Fort Worth,76177,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Fuzzy's - Denton 35,Fuzzy's, ,C,1,No,,N,12,X,0,R,18,,,No,Fintech,Fuzzy's - Denton 35, ,, , , ,,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Fuzzy's - NRH,Fuzzy's, ,C,1,No,,N,11.5,X,0,R,18,"5170 Rufe Snow North Richland Hills , TX 76180",,No,Fintech,Fuzzy's NRH, ,, ,5170 Rufe Snow,North Richland Hills,76180,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Hop and Vine,None,,C,1,No,,N,205,CO3,0.25,R,18,"5619 West Loop 1604 N, San Antonio, TX 78252",,No,Fintech,Hop and Vine,idk,0,idk,idk,idk,0,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Kroger - Beach 000536,Kroger,536,C,1,No,,F,4,X,0,G,22,"6650 N. Beach Fort Worth , TX 76137",,No,Fintech,Kroger - 000536 North Beach, ,, ,6650 N. Beach,Fort Worth,76137,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Billy's Oak Acres BBQ,None, ,C,1,No,,N,4.5,CO3,0.25,R,18,"1620 N Las Vegas Trail, Fort Worth, TX 76108 Fort Worth , TX 76108", ,No,COD,,BG087895,32009288302,Oak Acres,"1620 N Las Vegas Trail, Fort Worth, TX 76108",Fort Worth,76108,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Blue 32,None, ,C,1,No,,N,4.5,CO3,0.25,B,18,"1201 LONGHORN ROAD Fort Worth , TX 76179",,Yes,COD,,MB825478,32049061735,Blue 32,1201 LONGHORN ROAD,Fort Worth,76179,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Bronson Rock,None, ,C,1,No,,N,11.5,V3,1,R,18,"250 S Main St Keller , TX 76248",,No,Fintech,Bronson Rock - Keller,MB792473,32044766262,Bronson Rock,250 S Main St,Keller,76248,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
Chestnut Tree,None, ,C,1,No,,N,12,V3,1,L,18,"107 W Hickory St Denton , TX 76201",,No,COD,,BG298192,32025152797,Chesnut Tree,107 W Hickory St,Denton,76201,No,Martin House,, $-   , $-   , $-   ,No 2019 Sales
